project_name,website,filename
"Bills Payment App","","bills-payment-app.png"
"Canister Upgrader","","canister-upgrader.png"
"Exchange Registry","","exchange-registry.png"
"NFT Runes Exchange","","nft-runes-exchange.png"
"Blackhole (ninegua)","","blackhole-ninegua.png"
"Bitcoin Runes Etching","","bitcoin-runes-etching.png"
"Canister Status Query","","canister-status-query.png"
"Sachin Tendulkar Token","","sachin-tendulkar-token.png"
"Unidentified (deleted)","","unidentified-deleted.png"
"Granny VS Internet Token","","granny-vs-internet-token.png"
"Unidentified (no candid)","","unidentified-no-candid.png"
"Squirrel (SNS Aggregator)","","squirrel-sns-aggregator.png"
"Unidentified (empty service)","","unidentified-empty-service.png"
"Unidentified (minimal interface)","","unidentified-minimal-interface.png"
